Token;English;Russian;German;Spanish;Czech;Dutch;French;Japanese;Korean;Polish;Portuguese_Brazilian;Turkish;Ukrainian;Chinese;Chinese_Trad;Swedish;Italian;Romanian;Bulgarian;Macedonian;Finnish;Danish;Norwegian;Icelandic;Lithuanian;Hungarian;Slovak;Portuguese_European;Hindi;Thai;Croatian;Georgian;Greek;Serbian;Latvian
lu_controller_message_enable;Add;Добавить;Hinzufügen;Añadir;Přidat;Toevoegen;Ajouter;追加;추가;Dodaj;Adicionar;Ekle;Додати;添加;添加;Lägg till;Aggiungi;Adaugă;Добави;Додај;Lisää;Tilføj;Legg til;Bæta við;Pridėti;Hozzáad;Pridať;Adicionar;जोड़ें;เพิ่ม;Dodaj;დამატება;Προσθήκη;Dodaj;Pievienot
lu_controller_message_disable;Remove;Убрать;Entfernen;Eliminar;Odebrat;Verwijderen;Retirer;削除;제거;Usuń;Remover;Kaldır;Прибрати;移除;移除;Ta bort;Rimuovi;Elimină;Премахни;Отстрани;Poista;Fjern;Fjern;Fjarlægja;Pašalinti;Eltávolít;Odobrať;Remover;हटाएँ;ลบ;Ukloni;წაშლა;Αφαίρεση;Ukloni;Noņemt
lu_controller_message_switch;Switch;Переключить;Wechseln;Cambiar;Přepnout;Wisselen;Changer;切り替え;전환;Zmień;Trocar;Değiştir;Перемкнути;切换;切換;Växla;Cambia;Schimbă;Превключи;Префрли;Vaihda;Skift;Bytt;Skipta;Perjungti;Váltás;Prepnúť;Trocar;बदलें;สลับ;Promijeni;გადართვა;Αλλαγή;Promeni;Pārslēgt
lu_part_lantern_name;Lantern;Фонарь;Laterne;Linterna;Lucerna;Lantaarn;Lanterne;ランタン;랜턴;Lampa;Lanterna;Fener;Ліхтар;灯笼;燈籠;Lanterna;Lanterna;Felinar;Фенер;Фенер;Lyhty;Lanterne;Lykt;Ljósker;Žibintas;Lámpás;Lucerna;Lanterna;लालटेन;โคมไฟ;Fenjer;ფარანი;Φανάρι;Fenjer;Laterna
lu_part_lantern_enable;Hang;Повесить;Aufhängen;Colgar;Zavěsit;Ophangen;Accrocher;吊るす;걸기;Zawieś;Pendurar;As;Повісити;挂;掛;Häng upp;Appendi;Agață;Окачи;Закачи;Ripusta;Hæng op;Heng opp;Hengja upp;Pakabinti;Felakaszt;Zavesiť;Pendurar;लटकाएँ;แขวน;Objesi;დაკიდება;Κρέμασε;Okači;Pakārt
lu_part_lantern_disable;Remove;Снять;Entfernen;Quitar;Odebrat;Verwijderen;Retirer;外す;제거;Usuń;Remover;Kaldır;Зняти;移除;移除;Ta bort;Rimuovi;Elimină;Премахни;Отстрани;Poista;Fjern;Fjern;Fjarlægja;Pašalinti;Eltávolít;Odobrať;Remover;हटाएँ;ลบ;Ukloni;წაშლა;Αφαίρεση;Ukloni;Noņemt
lu_part_lantern_upgrade;Adds a lantern that lights the deck\nTogether, the lantern and awning provide a warm place to rest;Добавляет фонарь, освещающий палубу\nВместе фонарь и тент создают тёплое место для отдыха;Fügt eine Laterne hinzu, die das Deck beleuchtet\nLaterne und Markise schaffen gemeinsam einen warmen Rastplatz;Añade una linterna que ilumina la cubierta\nLa linterna y el toldo crean juntos un lugar cálido donde descansar;Přidává lucernu, která osvětluje palubu\nLucerna a přístřešek společně vytvářejí teplé místo k odpočinku;Voegt een lantaarn toe die het dek verlicht\nDe lantaarn en luifel vormen samen een warme rustplaats;Ajoute une lanterne qui éclaire le pont\nLa lanterne et l’auvent offrent ensemble un endroit chaleureux où se reposer;甲板を照らすランタンを追加します\nランタンと天幕がそろうと、暖かく休める場所になります;갑판을 밝히는 랜턴을 추가합니다\n랜턴과 차양이 함께 있으면 따뜻하게 쉴 수 있습니다;Dodaje lampę oświetlającą pokład\nLampa i zadaszenie tworzą razem ciepłe miejsce do odpoczynku;Adiciona uma lanterna que ilumina o convés\nA lanterna e o toldo criam juntos um lugar aquecido para descansar;Güverteyi aydınlatan bir fener ekler\nFener ve tente birlikte sıcak bir dinlenme yeri sağlar;Додає ліхтар, що освітлює палубу\nРазом ліхтар і тент створюють тепле місце для відпочинку;添加一盏照亮甲板的灯笼\n灯笼与遮篷齐备后，便有了一处温暖的休息之地;新增一盞照亮甲板的燈籠\n燈籠與遮篷齊備後，便有了一處溫暖的休息之地;Lägger till en lanterna som lyser upp däcket\nTillsammans skapar lanternan och markisen en varm plats att vila på;Aggiunge una lanterna che illumina il ponte\nLa lanterna e il tendalino creano insieme un luogo caldo in cui riposare;Adaugă un felinar care luminează puntea\nFelinarul și copertina creează împreună un loc cald de odihnă;Добавя фенер, който осветява палубата\nЗаедно фенерът и навесът създават топло място за почивка;Додава фенер што ја осветлува палубата\nФенерот и настрешницата заедно создаваат топло место за одмор;Lisää kannen valaisevan lyhdyn\nLyhty ja markiisi muodostavat yhdessä lämpimän lepopaikan;Tilføjer en lanterne, der lyser dækket op\nLanternen og markisen skaber tilsammen et varmt sted at hvile;Legger til en lykt som lyser opp dekket\nLykten og markisen skaper sammen et varmt sted å hvile;Bætir við ljóskeri sem lýsir upp þilfarið\nLjóskerið og skyggnið skapa saman hlýjan hvíldarstað;Prideda žibintą, kuris apšviečia denį\nŽibintas ir stogelis kartu sukuria šiltą vietą pailsėti;Hozzáad egy lámpást, amely megvilágítja a fedélzetet\nA lámpás és a napvitorla együtt meleg pihenőhelyet teremt;Pridáva lucernu, ktorá osvetľuje palubu\nLucerna a prístrešok spolu vytvárajú teplé miesto na odpočinok;Adiciona uma lanterna que ilumina o convés\nA lanterna e o toldo criam em conjunto um lugar quente para descansar;डेक को रोशन करने वाली लालटेन जोड़ता है\nलालटेन और छज्जा मिलकर आराम के लिए एक गर्म जगह बनाते हैं;เพิ่มโคมไฟที่ส่องสว่างทั่วดาดฟ้า\nโคมไฟและกันสาดร่วมกันสร้างที่พักอันอบอุ่น;Dodaje fenjer koji osvjetljava palubu\nFenjer i nadstrešnica zajedno stvaraju toplo mjesto za odmor;ამატებს ფარანს, რომელიც გემბანს ანათებს\nფარანი და ტენტი ერთად ქმნის თბილ ადგილს დასასვენებლად;Προσθέτει ένα φανάρι που φωτίζει το κατάστρωμα\nΤο φανάρι και η τέντα δημιουργούν μαζί ένα ζεστό μέρος για ανάπαυση;Dodaje fenjer koji osvetljava palubu\nFenjer i nadstrešnica zajedno stvaraju toplo mesto za odmor;Pievieno laternu, kas izgaismo klāju\nLaterna un nojume kopā rada siltu vietu atpūtai
lu_part_tent_name;Awning;Тент;Markise;Toldo;Přístřešek;Luifel;Auvent;天幕;차양;Zadaszenie;Toldo;Tente;Тент;遮篷;遮篷;Markis;Tendalino;Copertină;Навес;Настрешница;Markiisi;Markise;Markise;Skyggni;Stogelis;Napvitorla;Prístrešok;Toldo;छज्जा;กันสาด;Nadstrešnica;ტენტი;Τέντα;Nadstrešnica;Nojume
lu_part_tent_enable;Place;Разместить;Platzieren;Colocar;Umístit;Plaatsen;Placer;設置;설치;Postaw;Colocar;Yerleştir;Розмістити;放置;放置;Placera;Posiziona;Plasează;Постави;Постави;Aseta;Placer;Plasser;Setja;Pastatyti;Elhelyez;Umiestniť;Colocar;स्थापित करें;วาง;Postavi;განთავსება;Τοποθέτησε;Postavi;Novietot
lu_part_tent_disable;Remove;Убрать;Entfernen;Quitar;Odebrat;Verwijderen;Retirer;削除;제거;Usuń;Remover;Kaldır;Прибрати;移除;移除;Ta bort;Rimuovi;Elimină;Премахни;Отстрани;Poista;Fjern;Fjern;Fjarlægja;Pašalinti;Eltávolít;Odobrať;Remover;हटाएँ;ลบ;Ukloni;წაშლა;Αφαίρεση;Ukloni;Noņemt
